segment_id,u,v,lat_u,lon_u,lat_v,lon_v,highway,length,lat,lon,umap_x,umap_y,cluster_espacial,cluster_temporal,jam_mean,zona
132,1344122059,2865522344,-16.4838954,-68.0929691,-16.4835243,-68.0924637,residential,67.87271629665413,-16.48370985,-68.0927164,-12.41087,-6.462656,-1,0,0.0,lapaz
133,1345733085,6110460341,-16.4901853,-68.1157414,-16.4903139,-68.1163788,residential,69.4486078483398,-16.4902496,-68.1160601,-8.389397,1.5476203,1,0,0.36778882408589736,lapaz
134,2865723638,2865723645,-16.515165,-68.1313752,-16.5146198,-68.1316146,residential,66.03090872323345,-16.5148924,-68.1314949,-12.095087,-6.9481335,-1,0,0.0,lapaz
135,2867949715,2867949723,-16.551689,-68.0671699,-16.5506642,-68.0674348,residential,140.7154016747232,-16.551176599999998,-68.06730235,-11.196257,-5.607661,-1,0,0.0,lapaz
136,1786102722,6123615803,-16.5332892,-68.1026695,-16.5333965,-68.1027852,residential,17.160004884578974,-16.533342849999997,-68.10272735000001,-12.5766535,-6.0531087,6,0,0.0,lapaz
137,1784870676,1784870680,-16.4725369,-68.1209578,-16.4728648,-68.1211741,residential,43.14344566589767,-16.472700850000003,-68.12106595,-12.5109005,-6.4405174,8,0,0.0,lapaz
138,11395421015,11395421018,-16.5236458,-68.0661076,-16.5231343,-68.0664496,residential,67.55825301489178,-16.52339005,-68.0662786,-11.87116,-5.4263597,-1,0,0.0,lapaz
139,564763533,564763585,-16.4878074,-68.1386705,-16.4874539,-68.1391301,residential,62.898927641979945,-16.48763065,-68.1389003,-7.900535,1.7362984,-1,1,0.4865376129269623,lapaz
140,2867862991,8983503582,-16.5272724,-68.1313573,-16.5278114,-68.1316535,residential,68.13265490681181,-16.527541900000003,-68.13150540000001,-11.773704,-5.208657,-1,0,0.0,lapaz
141,2321141259,4379751906,-16.5282486,-68.0792686,-16.5281831,-68.0792888,residential,7.594930320151283,-16.528215850000002,-68.0792787,-12.085532,-6.5797753,-1,0,0.0,lapaz
142,1346553268,1346553270,-16.4994054,-68.0823161,-16.4998311,-68.0827477,residential,66.4717607221288,-16.49961825,-68.08253189999999,-12.026054,-5.9530425,-1,0,0.0,lapaz
143,10557439867,10557439877,-16.4518191,-68.0480733,-16.4513629,-68.0492075,residential,163.26603724411964,-16.451591,-68.0486404,-11.015853,-5.544538,-1,0,0.0,lapaz
144,560220226,11336566759,-16.5431155,-68.083216,-16.5431139,-68.0832731,residential,6.089016964115346,-16.5431147,-68.08324454999999,-12.479804,-5.497459,2,0,0.0,lapaz
145,2861601657,10602991502,-16.4680128,-68.1549556,-16.4678841,-68.1552219,residential,31.88361134158169,-16.46794845,-68.15508875,-12.313541,-6.15138,-1,0,0.0,lapaz
146,13016709862,13016709867,-16.5744314,-68.0876976,-16.574076,-68.0887461,residential,120.81871316048786,-16.5742537,-68.08822185,-12.200232,-5.7125974,-1,0,0.0,lapaz
147,6066709574,6066709599,-16.4406147,-68.1204426,-16.4405861,-68.1209415,residential,53.30200321875471,-16.4406004,-68.12069205,-12.089141,-6.4281178,-1,0,0.0,lapaz
