segment_id,lat,lon,highway,length,cluster_espacial,jam_mean
133,-16.4902496,-68.1160601,residential,69.4486078483398,0,0.3422083333333333
134,-16.5148924,-68.1314949,residential,66.03090872323345,0,0.0
135,-16.551176599999998,-68.06730235,residential,140.7154016747232,0,0.0
136,-16.533342849999997,-68.10272735000001,residential,17.160004884578974,0,0.0
137,-16.472700850000003,-68.12106595,residential,43.14344566589767,0,0.0
138,-16.52339005,-68.0662786,residential,67.55825301489178,0,0.0
139,-16.48763065,-68.1389003,residential,62.898927641979945,0,0.5260000000000004
140,-16.527541900000003,-68.13150540000001,residential,68.13265490681181,0,0.0
141,-16.528215850000002,-68.0792787,residential,7.594930320151283,0,0.0
142,-16.49961825,-68.08253189999999,residential,66.4717607221288,0,0.0
143,-16.451591,-68.0486404,residential,163.26603724411964,-1,0.0
144,-16.5431147,-68.08324454999999,residential,6.089016964115346,0,0.0
145,-16.46794845,-68.15508875,residential,31.88361134158169,0,0.0
146,-16.5742537,-68.08822185,residential,120.81871316048786,0,0.0
147,-16.4406004,-68.12069205,residential,53.30200321875471,0,0.0
148,-16.5176192,-68.10985845,residential,31.425969414189662,0,0.0
149,-16.441943199999997,-68.1530231,residential,30.64512482594529,0,0.0
150,-16.5071054,-68.13671625,residential,108.62837922941578,0,0.35716666666666663
151,-16.551681,-68.06492975,residential,59.10562802662307,0,0.0
152,-16.4971647,-68.0687803,residential,108.22663979638465,0,0.0
153,-16.49647185,-68.0639789,residential,23.37807326916847,0,0.0
154,-16.531482750000002,-68.03885935,residential,50.761817744437536,0,0.0
155,-16.5084171,-68.14617770000001,residential,28.54353176680048,0,0.0
156,-16.4801658,-68.13002589999999,residential,149.98608988299327,0,0.0
157,-16.5131144,-68.0789135,residential,68.88564322119231,0,0.0
158,-16.4996361,-68.15743219999999,residential,63.73577420571004,0,0.0
159,-16.462397950000003,-68.140682,residential,19.981755312880125,0,0.0
160,-16.5412614,-68.09475895,residential,82.45476550849132,0,0.0
161,-16.548360000000002,-68.07719515,residential,50.20476872083714,0,0.0
162,-16.565652800000002,-68.08888669999999,residential,70.053791148386,0,0.0
163,-16.522249350000003,-68.06294740000001,residential,22.94932588302919,0,0.0
164,-16.486967399999997,-68.07777695,residential,50.31584664890513,0,0.0
165,-16.53129445,-68.1266637,residential,184.14444781679427,0,0.0
166,-16.54772745,-68.0971892,residential,27.10936462139482,0,0.0
167,-16.54733955,-68.0981886,residential,62.242437805974895,0,0.0
168,-16.532938350000002,-68.0716999,residential,56.73878229879661,0,0.0
169,-16.53254955,-68.10335755,residential,100.04061501131766,0,0.0
170,-16.562731550000002,-68.100044,residential,117.11240647892576,0,0.0
171,-16.54345825,-68.08581885000001,residential,107.93189419912416,0,0.009916666666666666
172,-16.4992696,-68.10172025,residential,127.9551425200687,0,0.0
173,-16.489911499999998,-68.11200745,residential,98.4616084838024,0,0.0
174,-16.4831412,-68.1310592,residential,4.958406856117941,0,0.0
175,-16.513649649999998,-68.11082264999999,residential,108.95864604638324,0,0.0
176,-16.5352876,-68.1000083,residential,184.5403264088224,0,0.0
177,-16.479348,-68.14269145,residential,60.50267388104815,0,0.44399999999999973
178,-16.48595305,-68.12334444999999,residential,138.72824651705028,0,0.0
179,-16.4879391,-68.16781455,residential,102.5231917788524,0,0.0
180,-16.49506775,-68.1484146,residential,32.24548842656158,0,0.0
181,-16.483025,-68.11897479999999,residential,112.26808245635976,0,0.0
182,-16.54442865,-68.0850006,residential,114.3236863469883,0,0.15222222222222223
